anime_id,person_id,role
9756,1832,Producer
9756,207,Producer
5205,575,Producer
5205,927,Producer
5205,2920,Director
5205,2921,Sound Director
9260,575,Producer
9260,576,Producer
9260,577,Producer
9260,231,Assistant Producer
49721,1333,Producer
49721,116,Producer
49721,2922,Producer
49721,2787,Assistant Producer
37515,2923,"Director, Storyboard"
37515,2924,Sound Director
37515,2925,"Theme Song Composition, Music"
37515,2926,Original Creator
49310,159,Producer
49310,559,Producer
49310,560,Producer
49310,439,Producer
572,1865,Producer
572,976,"Director, Script, Character Design, Screenplay, Original Creator"
572,2947,Sound Director
572,2948,Episode Director
40787,159,Producer
40787,1696,Producer
40787,2965,Producer
40787,2966,Producer
30,1638,"Producer, Director, Script, Storyboard, Key Animation, Original Creator, Mechanical Design"
30,2968,Producer
30,234,Producer
30,2969,Producer
39551,159,Producer
39551,2983,Producer
39551,2984,Producer
39551,2985,Producer
338,695,"Director, Storyboard"
338,3004,"Director, Sound Director, Chief Animation Director"
338,696,Episode Director
338,3005,Episode Director
37095,159,Producer
37095,3007,"Director, Episode Director, Storyboard"
37095,3008,"Script, Screenplay"
37095,3009,Theme Song Performance
11979,575,Producer
11979,536,Producer
11979,1832,Producer
11979,207,Producer
5941,3022,Producer
5941,3023,Producer
5941,3024,Producer
5941,1680,Assistant Producer
39547,3037,Producer
39547,3038,Producer
39547,1982,Producer
39547,3039,Producer
58390,3053,Producer
58390,3054,Producer
58390,3055,Producer
58390,3056,Assistant Producer
185,159,Producer
185,3072,Producer
185,3073,"Director, Episode Director, Storyboard"
185,3074,Sound Director
55102,3095,Producer
55102,3096,"Director, Episode Director, Storyboard"
55102,3097,Sound Director
55102,3098,Episode Director
39167,3114,Producer
39167,3115,"Director, Storyboard"
39167,2921,Sound Director
39167,3116,Theme Song Performance
22789,159,Producer
22789,88,Producer
22789,1316,Producer
22789,3131,Producer
2402,695,"Director, Episode Director, Script, Storyboard, Key Animation"
2402,3139,"Episode Director, Storyboard"
2402,3140,Episode Director
2402,3141,Episode Director
6945,2504,"Theme Song Performance, Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement"
6945,3142,Theme Song Performance
6945,2505,Original Creator
6945,2506,Character Design
41025,3158,Producer
41025,3159,"Director, Episode Director, Storyboard"
41025,3160,Sound Director
41025,3161,Episode Director
31988,258,Producer
31988,506,Producer
31988,2226,Producer
31988,849,Assistant Producer
777,3181,"Co-Director, Episode Director, Storyboard"
777,159,Producer
777,3182,Producer
777,3183,"Director, Storyboard, Key Animation"
37822,3195,Original Creator
39808,3208,Producer
39808,1434,Producer
39808,1313,Producer
39808,2484,Producer
53540,2863,"Director, Episode Director, Storyboard"
53540,3224,"Episode Director, Key Animation"
53540,3225,Episode Director
53540,3226,Episode Director
2251,159,Producer
2251,3237,Producer
2251,1336,Producer
2251,1334,Producer
20651,1333,Producer
20651,1334,Producer
20651,1336,Producer
20651,1680,Producer
39535,159,Producer
39535,1355,Producer
39535,1477,Producer
39535,2672,Producer
41457,801,Producer
41457,802,Producer
41457,803,"Director, Episode Director, Storyboard"
41457,782,Sound Director
46654,3256,Director
46654,1889,Sound Director
46654,3257,Script
46654,3258,Theme Song Performance
50407,3265,Director
5081,575,Producer
5081,576,Producer
5081,2158,Producer
5081,482,Assistant Producer
13601,159,Producer
13601,160,Producer
13601,890,Producer
13601,3278,Producer
60557,3291,Original Creator
42886,3293,Producer
42886,159,Producer
42886,3294,Producer
42886,2346,Producer
28701,1211,"Producer, Original Character Design"
28701,575,Producer
28701,927,Producer
28701,3297,Assistant Producer
22535,88,Producer
22535,3311,Producer
22535,2839,Producer
22535,3312,Producer
10030,1904,Producer
10030,1905,"Director, Storyboard"
10030,1906,"Director, Episode Director, Storyboard"
10030,1907,Sound Director
49458,2628,Producer
49458,3317,Producer
49458,3318,Producer
49458,3319,Producer
2559,3337,Director
2559,3338,Sound Director
2559,3339,"Episode Director, Storyboard"
2559,3340,Episode Director
12029,159,Producer
12029,3357,Producer
12029,3358,Producer
12029,3359,Producer
49926,927,Producer
49926,1005,Producer
49926,1006,Producer
49926,1007,Producer
10162,162,Producer
10162,891,Producer
10162,1748,Producer
10162,3374,Producer
55357,761,Producer
55357,763,Director
55357,3375,Sound Director
55357,3376,"Theme Song Lyrics, Theme Song Composition"
39587,1770,Producer
39587,2450,Producer
39587,3377,Producer
39587,2451,Producer
10937,3389,"Director, Storyboard, Original Creator, Character Design"
10937,3390,"Director, Storyboard"
10937,3338,Sound Director
10937,3391,"Episode Director, Storyboard, Key Animation"
10534,3406,Producer
10534,3407,"Director, Storyboard"
10534,3408,Storyboard
10534,3409,Storyboard
5040,87,Producer
5040,88,Producer
5040,1850,Producer
5040,3423,"Director, Episode Director, Storyboard"
55644,3425,Producer
55644,2145,Director
55644,782,Sound Director
55644,3426,Episode Director
22507,3428,"Director, Storyboard"
22507,3074,Sound Director
22507,3429,Episode Director
22507,3430,Storyboard
40211,801,Producer
40211,2894,Director
40211,3440,Theme Song Performance
40211,3441,ADR Director
34534,3444,Director
34534,3445,"Episode Director, Storyboard"
34534,3446,Episode Director
34534,3447,Script
7655,2662,"Director, Episode Director, Storyboard"
7655,2663,Sound Director
7655,3451,Episode Director
7655,3452,"Episode Director, Storyboard"
4081,1005,Producer
4081,1336,Producer
4081,1334,Producer
4081,3454,Producer
51805,2346,Producer
51805,3456,"Director, Episode Director, Storyboard"
51805,3074,Sound Director
51805,2348,"Episode Director, Storyboard"
56752,1000,"Co-Director, Storyboard"
56752,910,"Director, Original Creator, Chief Producer"
56752,3464,ADR Director
56752,3465,ADR Director
1210,3482,Producer
1210,1771,Producer
1210,3483,Producer
1210,3484,"Director, Episode Director, Storyboard"
3784,159,Producer
3784,1638,"Director, Script, Storyboard, Creator, Key Animation, Executive Producer"
3784,1518,"Director, Storyboard, Key Animation"
3784,3485,"Director, Storyboard, Key Animation"
41487,159,Producer
41487,3488,Producer
41487,3489,Producer
41487,2985,Producer
5341,159,Producer
5341,3506,Producer
5341,3507,Producer
5341,3508,Producer
51440,536,Producer
