character_id,person_id,language
933,182,Japanese
935,1724,Japanese
937,1028,Japanese
939,1725,Japanese
1726,481,Japanese
940,382,Japanese
942,819,Japanese
944,1727,Japanese
945,1728,Japanese
1734,1735,Japanese
1736,550,Japanese
1737,1738,Japanese
1739,73,Japanese
1740,1395,Japanese
1741,25,Japanese
1742,184,Japanese
1743,1744,Japanese
1745,1735,Japanese
1746,1747,Japanese
1752,71,Japanese
1753,1754,Japanese
1755,268,Japanese
1756,1757,Japanese
1758,546,Japanese
1759,1760,Japanese
1761,900,Japanese
1762,445,Japanese
1763,1764,Japanese
1765,1369,Japanese
518,79,Japanese
519,520,Japanese
521,471,Japanese
524,525,Japanese
522,523,Japanese
1768,1769,Japanese
526,152,Japanese
527,528,Japanese
529,530,Japanese
531,532,Japanese
1626,1505,Japanese
1631,726,Japanese
1627,1628,Japanese
1632,1025,Japanese
1629,15,Japanese
1633,726,Japanese
1634,23,Japanese
1636,724,Japanese
1779,452,Japanese
1780,1781,Japanese
1787,1788,Japanese
1789,1790,Japanese
1791,1792,Japanese
1793,1794,Japanese
1795,1796,Japanese
1797,965,Japanese
811,1798,Japanese
1799,1800,Japanese
1801,592,Japanese
1802,1803,Japanese
1368,1369,Japanese
1810,1811,Japanese
1812,1083,Japanese
1813,1814,Japanese
1815,900,Japanese
1816,1817,Japanese
1818,67,Japanese
1819,42,Japanese
1820,276,Japanese
1303,50,Japanese
1301,67,Japanese
1302,222,Japanese
1304,382,Japanese
1305,1210,Japanese
1306,1264,Japanese
1718,992,Japanese
1307,550,Japanese
1825,1826,Japanese
1827,1828,Japanese
1206,503,Japanese
1830,351,Japanese
1831,523,Japanese
1198,1199,Japanese
1209,1210,Japanese
1195,1196,Japanese
1204,186,Japanese
1197,1035,Japanese
1200,1201,Japanese
1202,1203,Japanese
1837,900,Japanese
1838,1839,Japanese
1840,1841,Japanese
1842,1843,Japanese
1844,1845,Japanese
1846,544,Japanese
1847,106,Japanese
1848,166,Japanese
1010,110,Japanese
1011,1012,Japanese
1013,544,Japanese
1014,270,Japanese
1016,54,Japanese
1017,184,Japanese
1018,1019,Japanese
1020,77,Japanese
1015,296,Japanese
1854,1855,Japanese
1856,1857,Japanese
1858,1859,Japanese
1861,1862,Japanese
543,544,Japanese
545,546,Japanese
547,548,Japanese
551,220,Japanese
552,71,Japanese
553,110,Japanese
554,296,Japanese
555,556,Japanese
557,558,Japanese
1868,868,Japanese
1873,17,Japanese
1874,1875,Japanese
1876,503,Japanese
1877,1878,Japanese
1879,730,Japanese
1880,1526,Japanese
1881,1882,Japanese
1883,1884,Japanese
1885,322,Japanese
1886,724,Japanese
1892,1893,Japanese
1894,27,Japanese
1895,100,Japanese
1896,171,Japanese
1897,349,Japanese
1898,184,Japanese
1899,1900,Japanese
1901,1769,Japanese
1902,21,Japanese
1903,503,Japanese
1910,1096,Japanese
1911,1912,Japanese
1913,1914,Japanese
1915,1916,Japanese
1917,737,Japanese
1918,1919,Japanese
1922,156,Japanese
1923,1924,Japanese
1319,140,Japanese
1320,336,Japanese
1321,1322,Japanese
1323,1324,Japanese
1325,15,Japanese
1327,1328,Japanese
1329,456,Japanese
1330,1331,Japanese
1332,360,Japanese
1927,1738,Japanese
915,56,Japanese
916,434,Japanese
917,642,Japanese
1004,27,Japanese
918,919,Japanese
920,349,Japanese
921,296,Japanese
922,276,Japanese
7,8,Japanese
10,11,Japanese
14,15,Japanese
12,13,Japanese
125,1928,Japanese
16,17,Japanese
18,19,Japanese
20,21,Japanese
26,27,Japanese
1929,106,Japanese
1930,186,Japanese
1931,724,Japanese
1932,1933,Japanese
1934,1878,Japanese
1935,1936,Japanese
1937,1938,Japanese
1939,487,Japanese
1940,1941,Japanese
1942,1943,Japanese
1368,1369,Japanese
1810,1811,Japanese
1812,1083,Japanese
1813,1814,Japanese
1815,900,Japanese
1947,1244,Japanese
1816,1817,Japanese
1818,67,Japanese
1820,276,Japanese
1948,1949,Japanese
141,142,Japanese
143,144,Japanese
145,146,Japanese
139,140,Japanese
147,148,Japanese
149,150,Japanese
151,152,Japanese
153,154,Japanese
155,156,Japanese
157,158,Japanese
1951,42,Japanese
1952,523,Japanese
1953,1954,Japanese
1955,75,Japanese
1956,1957,Japanese
1958,94,Japanese
1612,148,Japanese
1959,21,Japanese
228,1936,Japanese
1960,220,Japanese
1968,544,Japanese
1969,832,Japanese
1970,883,Japanese
1971,1972,Japanese
1973,1974,Japanese
1975,1345,Japanese
1976,52,Japanese
1977,709,Japanese
1978,276,Japanese
1979,1693,Japanese
1752,71,Japanese
1758,546,Japanese
1755,268,Japanese
1753,1754,Japanese
1756,1757,Japanese
1759,1760,Japanese
1761,900,Japanese
1762,445,Japanese
1763,1764,Japanese
1765,1369,Japanese
806,807,Japanese
1984,1985,Japanese
1167,1986,Japanese
1169,1170,Japanese
228,808,Japanese
1987,1988,Japanese
1612,148,Japanese
1990,382,Japanese
1991,1992,Japanese
1993,296,Japanese
1994,660,Japanese
1995,142,Japanese
1996,730,Japanese
1997,1998,Japanese
1999,253,Japanese
2000,2001,Japanese
2005,2006,Japanese
2007,2008,Japanese
2009,2010,Japanese
2011,2012,Japanese
2013,2014,Japanese
2015,2016,Japanese
2017,2018,Japanese
2019,2020,Japanese
2021,2022,Japanese
2023,54,Japanese
2043,563,Japanese
2044,266,Japanese
2045,250,Japanese
2046,1264,Japanese
2047,505,Japanese
2048,566,Japanese
2049,1972,Japanese
2051,1571,Japanese
2052,2053,Japanese
